Giornata,Data,Partite
1,20/8/23,Bologna-Milan;Empoli-Verona;Frosinone-Napoli;Genoa-Fiorentina;Inter-Monza;Lecce-Lazio;Roma-Salernitana;Sassuolo-Atalanta;Torino-Cagliari;Juventus-Udinese
29,17/3/24,Atalanta-Fiorentina;Empoli-Bologna;Frosinone-Lazio;Verona-Milan;Inter-Napoli;Juventus-Genoa;Monza-Cagliari;Roma-Sassuolo;Salernitana-Lecce;Udinese-Torino
30,30/3/24,Bologna-Salernitana;Cagliari-Verona;Fiorentina-Milan;Genoa-Frosinone;Inter-Empoli;Lazio-Juventus;Lecce-Roma;Napoli-Atalanta;Sassuolo-Udinese;Torino-Monza
31,7/4/24,Cagliari-Atalanta;Empoli-Torino;Frosinone-Bologna;Verona-Genoa;Juventus-Fiorentina;Lecce-Milan;Monza-Napoli;Roma-Lazio;Salernitana-Sassuolo;Udinese-Inter
32,14/4/24,Atalanta-Verona;Bologna-Monza;Fiorentina-Genoa;Inter-Cagliari;Lazio-Salernitana;Lecce-Empoli;Napoli-Frosinone;Sassuolo-Milan;Torino-Juventus;Udinese-Roma
33,21/4/24,Cagliari-Juventus;Empoli-Napoli;Genoa-Lazio;Verona-Udinese;Milan-Inter;Monza-Atalanta;Roma-Bologna;Salernitana-Fiorentina;Sassuolo-Lecce;Torino-Frosinone
34,28/4/24,Atalanta-Empoli;Bologna-Udinese;Fiorentina-Sassuolo;Frosinone-Salernitana;Genoa-Cagliari;Inter-Torino;Juventus-Milan;Lazio-Verona;Lecce-Monza;Napoli-Roma
35,5/5/24,Cagliari-Lecce;Empoli-Frosinone;Verona-Fiorentina;Milan-Genoa;Monza-Lazio;Roma-Juventus;Salernitana-Atalanta;Sassuolo-Inter;Torino-Bologna;Udinese-Napoli
36,12/5/24,Atalanta-Roma;Fiorentina-Monza;Frosinone-Inter;Genoa-Sassuolo;Verona-Torino;Juventus-Salernitana;Lazio-Empoli;Lecce-Udinese;Milan-Cagliari;Napoli-Bologna
37,19/5/24,Bologna-Juventus;Fiorentina-Napoli;Inter-Lazio;Lecce-Atalanta;Monza-Frosinone;Roma-Genoa;Salernitana-Verona;Sassuolo-Cagliari;Torino-Milan;Udinese-Empoli
38,26/5/24,Atalanta-Torino;Cagliari-Fiorentina;Empoli-Roma;Frosinone-Udinese;Genoa-Bologna;Verona-Inter;Juventus-Monza;Lazio-Sassuolo;Milan-Salernitana;Napoli-Lecce
